n	The chicken cannot fly. It	flies.	spreads its wings and flies.	crosses the road.	tries to fly and succeeds.	2
p	The woman enjoyed the dog days of summer. She	went skiing.	always liked the hottest days best.	sold couches.	really loved hanging out with dogs.	1
o	The man is planning a surprise party for his friend. He	will sleep for a long time	will cook dinner and invite friends	will take his dog for a walk	will take his parents to temple.	1
o	The girl encounters a raccoon in her house. She	forgot to take her makeup off last night.	calls animal control.	feeds it some cat food.	introduces it to her cat.	1
i	Known for having a green thumb, John	tried desperately to wash his thumb.	maintained a beautiful garden.	painted his other fingers green, too.	always ate his fruits and vegetables.	1
o	John is a good student but Jack is not a good student. John	never goes to class.	aces all his exams.	flew around the room.	likes to knit scarves.	1
o	He dismounts and lands on a blue mat. He	waves at the crowd and walks off.	throws his arms up.	throws his arms in the air.	jumps high and falls and does a series of cartwheels.	0
o	On a warm summer day, Ally relaxes on the beach. She	pulls out a book and begins to read.	orders a cup of hot chocolate from the hotel.	waves to her friend on the ski slope.	puts on her winter coat because she's cold.	0
o	Professor Downey has given a very difficult test but all students got the full marks except John . John is	happy that he hasn't got the full marks.	dancing in celebration.	sad that he hasn't got the full marks.	super happy that he came last in the test.	2
o	JD spray paints a wall. JD	paints on the sky	fires all the guns	does graffiti	is arsonist	2
o	Please do not throw garbage on the road,	throw it outside the other people houses.	throw it in the other people houses.	throw it in the trash.	eat it.	2
o	The man is sharing some pasta with his date. His date	stood him up.	looks lovingly into his eyes.	is not there.	has to be postponed.	1
o	The kids go on a field trip to the museum. They	were born in the museum.	spend the night at the museum and the exhibits come to life.	get bored quickly.	spend the day working on homework.	2
o	Professor Downey has amazing knowledge in all subjects except biology. Thus, He	loves Biology.	got an award for his expertise in Biology.	doesn't teach Biology at all.	teaches Biology very well.	2
o	The city councilmen refused the demonstrators a permit. The councilmen	did not like the city	feared violence from the demonstrators	were hungry for demonstrations	liked the demonstrators	1
o	I like to play video games, but my mom ask me to study, and I have to	play video games.	go to sleep.	shout at her.	listen to her.	3
i	During our last few romantic dinners, my wife and I could not stop arguing. I	asked my fairy godparents to rewind time so I could try again.	took it to mean that the flame would never be rekindled.	decided to tell her about my being born on Venus.	ended up stealing her dog.	1
o	The participants of a swimming competition are gathered near the swimming pool. They	complete their homework.	prepare to dive into the water.	run away.	turn towards the river and get prepared for the swimming competition.	1
o	Petter loves computer science, he	admires Turing very much.	thinks codes and algorithms are very boring.	dreams about being an mathematician.	doesn't feel well.	0
o	Cricket is played with balls and bats, if you have bat and ball then	we can go to the library for playing cricket.	we can not play cricket.	we can go for a game.	we can go for dinner.	2
p	The TV show host wasn't making any sense. The host	country organized a beautiful World Cup.	couldn't be reached after the connection hang.	was possibly drunk.	disseminated the disease through society.	2
o	Matt stopped hating his boss after	his boss was promoted.	he got fired.	he quit.	his boss gave him a promotion.	3
o	A waiter is serving a table. They	describe today's specials.	jump on the entrees sitting on the table.	eat the customer's food, say order up, and leave the table.	rip the menus in half and place them on the table	0
q	eight minus seven is	two	seven	one	eight	2
r	Alice is studying for a math test. John is going to exercise. Alice	puts on her running shoes.	changes into gym shorts.	works on algebra problems.	fills her water bottle.	2
o	A man dances across the stage as his partner twirls. The man then	calls his mom to tell her that he is dancing.	plans a party.	calls his mom to tell her to watch a movie.	greets her with his hand as he spins her into his arms as the audience cheers in delight.	3
o	The motorist is on the speedway. He is	is at the restaurant.	trying to find police cars.	on his way home from work.	walks his cat.	2
o	We realized that the paper this morning was full of old uninteresting news stories. We decided to	scrutinize it to every last detail.	throw it away.	frame it to the living room wall.	fold it a few times.	1
o	Emma is a social worker who recently experienced harassment at work. She	is crazy about shopping	confides about the ordeal in her partner	is advised to not discuss it	is happy about it	1
n	People in Australia are fond of cricket. They	watch it from the comfort of their palaces	would like Sachin to bat from their side	can't bowl in a straight line	have had great players like Ponting and Gilchrist	3
q	Axiom says a square can be calculated by side times side. A square	with side equals 2 is 5	with side equals 2 is 4	with side equals 2 is 7	with side equals 2 is 6	1
o	Adam said that his phone battery had run out. This caused Alfred to	try and catch it.	burn down a building.	instantly die.	go to the store to buy another one.	3
o	An officer pulls over a speeding car. The officer	asks the driver for racing tips.	gets into the car with the driver.	drives away in the car.	tells the driver to stay in the car.	3
